Iterations                    Total Loss
100                             0.013292
200                             0.006460
300                             0.005241
400                             0.004433
500                             0.003685
600                             0.003228
700                             0.002828
800                             0.002567
900                             0.002320
1000                            0.002090
1100                            0.001989
1200                            0.001851
1300                            0.001736
1400                            0.001729
1500                            0.001648
1600                            0.001579
1700                            0.001503
1800                            0.001507
1900                            0.001416
2000                            0.001364
2100                            0.001365
2200                            0.001311
2300                            0.001316
2400                            0.001278
2500                            0.001293
2600                            0.001196
2700                            0.001197
2800                            0.001176
2900                            0.001156
3000                            0.001142
3100                            0.001126
3200                            0.001132
3300                            0.001084
3400                            0.001072
3500                            0.001116
3600                            0.001059
3700                            0.001010
3800                            0.001000
3900                            0.000998
4000                            0.000965
4100                            0.000937
4200                            0.001003
4300                            0.000924
4400                            0.000909
4500                            0.000894
4600                            0.000893
4700                            0.000882
4800                            0.000871
4900                            0.000859
5000                            0.000885
5100                            0.000873
5200                            0.000883
5300                            0.000815
5400                            0.000824
5500                            0.000922
5600                            0.000810
5700                            0.000810
5800                            0.000791
5900                            0.000820
6000                            0.000807
6100                            0.000805
6200                            0.000768
6300                            0.000800
6400                            0.000764
6500                            0.000750
6600                            0.000724
6700                            0.000762
6800                            0.000729
6900                            0.000759
7000                            0.000729
7100                            0.000724
7200                            0.000745
7300                            0.000699
7400                            0.000712
7500                            0.000717
7600                            0.000692
7700                            0.000706
7800                            0.000723
7900                            0.000679
8000                            0.000685
8100                            0.000673
8200                            0.000684
8300                            0.000688
8400                            0.000677
8500                            0.000669
8600                            0.000636
8700                            0.000641
8800                            0.000640
8900                            0.000639
9000                            0.000638
9100                            0.000657
9200                            0.000611
9300                            0.000635
9400                            0.000609
9500                            0.000615
9600                            0.000633
9700                            0.000625
9800                            0.000642
9900                            0.000601
10000                           0.000613
