IterationsTotal Loss      PSNR
 100  0.00523503 22.81080558
  200  0.00377223 24.23401715
  300  0.00275708 25.59550074
  400  0.00244512 26.11699159
  500  0.00207627 26.82715531
  600  0.00189826 27.21644054
  700  0.00164033 27.85067826
  800  0.00147704 28.30607302
  900  0.00133113 28.75778513
 1000  0.00128359 28.91572169
 1100  0.00114600 29.40816133
 1200  0.00117625 29.29499750
 1300  0.00104173 29.82244518
 1400  0.00098693 30.05714979
 1500  0.00097034 30.13074022
 1600  0.00089047 30.50381193
 1700  0.00088586 30.52637118
 1800  0.00086656 30.62200216
 1900  0.00085541 30.67823305
 2000  0.00084075 30.75333627
 2100  0.00081179 30.90557587
 2200  0.00076723 31.15075783
 2300  0.00075791 31.20379839
 2400  0.00073709 31.32481813
 2500  0.00070116 31.54184418
 2600  0.00071177 31.47662093
 2700  0.00068825 31.62253672
 2800  0.00066897 31.74592476
 2900  0.00065641 31.82823984
 3000  0.00068256 31.65857634
 3100  0.00066572 31.76708249
 3200  0.00066383 31.77945727
 3300  0.00065218 31.85629927
 3400  0.00066335 31.78254053
 3500  0.00061110 32.13890904
 3600  0.00062003 32.07589156
 3700  0.00060446 32.18631212
 3800  0.00060837 32.15835340
 3900  0.00060024 32.21672871
 4000  0.00056585 32.47297574
 4100  0.00060900 32.15384586
 4200  0.00058645 32.31766162
 4300  0.00056875 32.45076207
 4400  0.00057361 32.41382400
 4500  0.00056859 32.45203253
 4600  0.00055318 32.57135327
 4700  0.00059699 32.24031392
 4800  0.00057052 32.43727541
 4900  0.00053613 32.70732217
 5000  0.00053299 32.73283543
 5100  0.00053765 32.69499039
 5200  0.00053296 32.73307968
 5300  0.00053178 32.74267395
 5400  0.00051888 32.84933033
 5500  0.00053792 32.69283803
 5600  0.00051758 32.86023947
 5700  0.00052115 32.83038657
 5800  0.00051052 32.91986111
 5900  0.00049423 33.06072260
 6000  0.00048877 33.10899838
 6100  0.00050221 32.99110479
 6200  0.00049288 33.07258520
 6300  0.00051505 32.88154038
 6400  0.00049275 33.07375503
 6500  0.00050852 32.93690526
 6600  0.00049730 33.03380301
 6700  0.00049194 33.08091130
 6800  0.00048798 33.11597339
 6900  0.00048480 33.14437118
 7000  0.00048124 33.17640832
 7100  0.00048146 33.17439804
 7200  0.00049082 33.09078966
 7300  0.00046652 33.31128836
 7400  0.00048492 33.14325423
 7500  0.00047311 33.25038278
 7600  0.00046126 33.36051567
 7700  0.00046922 33.28621695
 7800  0.00045686 33.40221043
 7900  0.00046554 33.32039698
 8000  0.00045968 33.37541409
 8100  0.00044169 33.54884218
 8200  0.00044815 33.48577652
 8300  0.00045776 33.39359655
 8400  0.00046662 33.31032932
 8500  0.00046575 33.31846899
 8600  0.00043898 33.57553756
 8700  0.00044043 33.56118407
 8800  0.00046098 33.36320502
 8900  0.00043964 33.56906146
 9000  0.00044564 33.51018770
 9100  0.00042955 33.66984294
 9200  0.00044272 33.53872810
 9300  0.00042105 33.75666349
 9400  0.00042314 33.73517633
 9500  0.00042220 33.74484542
 9600  0.00043232 33.64197590
 9700  0.00043323 33.63279995
 9800  0.00043692 33.59602824
 9900  0.00042404 33.72589247
10000  0.00041423 33.82755859
