IterationsTotal Loss      PSNR
 100  0.00213334 26.70940068
  200  0.00094154 30.26162070
  300  0.00060323 32.19519048
  400  0.00050093 33.00219327
  500  0.00045221 33.44659836
  600  0.00040779 33.89559006
  700  0.00038186 34.18091924
  800  0.00036246 34.40738177
  900  0.00033454 34.75546311
 1000  0.00029600 35.28709262
 1100  0.00029973 35.23273591
 1200  0.00026887 35.70461453
 1300  0.00038455 34.15050970
 1400  0.00033930 34.69412347
 1500  0.00023855 36.22418814
 1600  0.00022204 36.53562712
 1700  0.00023065 36.37049430
 1800  0.00027445 35.61542149
 1900  0.00018862 37.24421286
 2000  0.00024632 36.08506885
 2100  0.00020290 36.92708067
 2200  0.00020274 36.93062469
 2300  0.00020750 36.82986466
 2400  0.00016437 37.84169140
 2500  0.00015257 38.16533151
 2600  0.00015178 38.18785948
 2700  0.00014149 38.49278718
 2800  0.00013391 38.73197872
 2900  0.00013975 38.54642457
 3000  0.00013716 38.62765949
 3100  0.00012804 38.92641587
 3200  0.00015312 38.14968467
 3300  0.00015128 38.20206491
 3400  0.00017612 37.54188728
 3500  0.00012371 39.07578028
 3600  0.00020529 36.87629299
 3700  0.00013302 38.76067957
 3800  0.00011837 39.26772987
 3900  0.00011689 39.32214705
 4000  0.00009790 40.09212169
 4100  0.00009406 40.26608755
 4200  0.00009376 40.27974914
 4300  0.00014381 38.42207270
 4400  0.00008938 40.48761409
 4500  0.00008711 40.59931847
 4600  0.00009147 40.38705824
 4700  0.00010351 39.84997972
 4800  0.00008286 40.81664768
 4900  0.00007496 41.25189950
 5000  0.00130178 28.85463448
 5100  0.00076203 31.18026903
 5200  0.00054704 32.61980961
 5300  0.00047033 33.27596058
 5400  0.00043359 33.62916540
 5500  0.00039098 34.07849191
 5600  0.00037572 34.25137563
 5700  0.00035846 34.45560173
 5800  0.00036648 34.35949425
 5900  0.00032309 34.90678921
 6000  0.00029398 35.31683451
 6100  0.00028548 35.44431895
 6200  0.00027712 35.57325028
 6300  0.00031850 34.96885169
 6400  0.00031627 34.99937535
 6500  0.00028634 35.43117859
 6600  0.00023054 36.37253730
 6700  0.00024378 36.12995764
 6800  0.00021457 36.68434190
 6900  0.00023047 36.37393894
 7000  0.00020890 36.80051356
 7100  0.00019844 37.02367589
 7200  0.00019617 37.07369392
 7300  0.00022499 36.47833699
 7400  0.00018542 37.31837087
 7500  0.00017621 37.53969392
 7600  0.00018635 37.29670066
 7700  0.00019056 37.19966490
 7800  0.00021297 36.71684730
 7900  0.00015892 37.98827945
 8000  0.00015990 37.96153960
 8100  0.00015541 38.08528887
 8200  0.00017220 37.63962206
 8300  0.00016160 37.91555376
 8400  0.00015672 38.04873357
 8500  0.00014821 38.29109449
 8600  0.00014358 38.42907291
 8700  0.00014694 38.32849116
 8800  0.00015006 38.23748810
 8900  0.00012600 38.99631564
 9000  0.00012899 38.89449835
 9100  0.00012329 39.09083243
 9200  0.00013865 38.58081106
 9300  0.00014413 38.41239116
 9400  0.00015638 38.05817969
 9500  0.00013531 38.68676192
 9600  0.00013254 38.77649131
 9700  0.00011425 39.42138114
 9800  0.00011049 39.56680397
 9900  0.00012791 38.93081539
