Iterations                    Total Loss
100                             0.014879
200                             0.006599
300                             0.004734
400                             0.003601
500                             0.003179
600                             0.002782
700                             0.002419
800                             0.002270
900                             0.001976
1000                            0.001815
1100                            0.001636
1200                            0.001636
1300                            0.001466
1400                            0.001381
1500                            0.001318
1600                            0.001245
1700                            0.001221
1800                            0.001207
1900                            0.001118
2000                            0.001089
2100                            0.001091
2200                            0.001033
2300                            0.000989
2400                            0.000974
2500                            0.000938
2600                            0.000904
2700                            0.000943
2800                            0.000938
2900                            0.000859
3000                            0.000818
3100                            0.000812
3200                            0.000792
3300                            0.000792
3400                            0.000802
3500                            0.000783
3600                            0.000730
3700                            0.000730
3800                            0.000713
3900                            0.000693
4000                            0.000711
4100                            0.000736
4200                            0.000683
4300                            0.000650
4400                            0.000671
4500                            0.000662
4600                            0.000665
4700                            0.000614
4800                            0.000663
4900                            0.000603
5000                            0.000610
5100                            0.000608
5200                            0.000578
5300                            0.000587
5400                            0.000581
5500                            0.000569
5600                            0.000570
5700                            0.000584
5800                            0.000555
5900                            0.000625
6000                            0.000572
6100                            0.000546
6200                            0.000567
6300                            0.000575
6400                            0.000562
6500                            0.000508
6600                            0.000537
6700                            0.000531
6800                            0.000507
6900                            0.000494
7000                            0.000510
7100                            0.000501
7200                            0.000491
7300                            0.000549
7400                            0.000542
7500                            0.000492
7600                            0.000475
7700                            0.000510
7800                            0.000476
7900                            0.000469
8000                            0.000467
8100                            0.000464
8200                            0.000462
8300                            0.000454
8400                            0.000474
8500                            0.000461
8600                            0.000454
8700                            0.000457
8800                            0.000454
8900                            0.000437
9000                            0.000446
9100                            0.000419
9200                            0.000442
9300                            0.000441
9400                            0.000440
9500                            0.000459
9600                            0.000409
9700                            0.000417
9800                            0.000420
9900                            0.000395
10000                           0.000399
