IterationsTotal Loss      PSNR
 100  0.00169276 27.71403364
  200  0.00103630 29.84513500
  300  0.00071070 31.48312539
  400  0.00047145 33.26561036
  500  0.00046350 33.33949577
  600  0.00038934 34.09671633
  700  0.00034377 34.63730427
  800  0.00036408 34.38806059
  900  0.00029420 35.31357489
 1000  0.00026907 35.70131212
 1100  0.00026444 35.77678240
 1200  0.00027233 35.64902558
 1300  0.00023152 36.35404818
 1400  0.00032094 34.93580666
 1500  0.00020438 36.89555281
 1600  0.00028260 35.48832585
 1700  0.00030767 35.11918312
 1800  0.00017475 37.57585458
 1900  0.00018278 37.38065038
 2000  0.00018000 37.44733088
 2100  0.00020032 36.98266289
 2200  0.00015169 38.19033567
 2300  0.00016189 37.90782659
 2400  0.00014016 38.53383781
 2500  0.00015169 38.19051869
 2600  0.00015594 38.07053052
 2700  0.00017030 37.68775659
 2800  0.00014114 38.50340543
 2900  0.00011477 39.40183734
 3000  0.00011435 39.41769850
 3100  0.00016108 37.92968691
 3200  0.00011787 39.28602383
 3300  0.00019551 37.08822151
 3400  0.00013760 38.61375818
 3500  0.00011310 39.46544647
 3600  0.00013539 38.68428840
 3700  0.00011426 39.42093055
 3800  0.00014037 38.52738562
 3900  0.00009724 40.12152358
 4000  0.00009873 40.05571914
 4100  0.00009471 40.23602469
 4200  0.00009843 40.06882813
 4300  0.00010827 39.65481313
 4400  0.00008038 40.94825241
 4500  0.00008840 40.53527744
 4600  0.00014946 38.25469935
 4700  0.00008524 40.69337152
 4800  0.00012337 39.08805469
 4900  0.00008083 40.92439846
 5000  0.00008306 40.80595477
 5100  0.00007227 41.41057899
 5200  0.00007469 41.26756896
 5300  0.00006379 41.95245844
 5400  0.00013006 38.85852604
 5500  0.00009424 40.25745635
 5600  0.00007919 41.01318307
 5700  0.00008769 40.57063566
 5800  0.00006230 42.05478846
 5900  0.00009754 40.10817757
 6000  0.00007872 41.03910049
 6100  0.00007606 41.18854175
 6200  0.00023511 36.28731775
 6300  0.00009326 40.30293069
 6400  0.00006177 42.09191553
 6500  0.00008103 40.91330458
 6600  0.00005106 42.91945239
 6700  0.00004648 43.32754431
 6800  0.00005726 42.42118265
 6900  0.00006557 41.83305192
 7000  0.00009401 40.26839659
 7100  0.00007920 41.01270749
 7200  0.00006614 41.79513684
 7300  0.00005373 42.69779804
 7400  0.00004161 43.80792857
 7500  0.00005274 42.77828759
 7600  0.00004068 43.90571389
 7700  0.00013385 38.73375492
 7800  0.00005429 42.65290445
 7900  0.00005984 42.22992467
 8000  0.00005772 42.38636258
 8100  0.00004044 43.93156619
 8200  0.00003790 44.21365188
 8300  0.00007605 41.18928272
 8400  0.00003599 44.43865350
 8500  0.00005307 42.75131167
 8600  0.00006331 41.98520001
 8700  0.00003423 44.65650000
 8800  0.00005059 42.95925135
 8900  0.00003580 44.46076117
 9000  0.00003488 44.57459605
 9100  0.00003795 44.20822400
 9200  0.00004069 43.90469441
 9300  0.00005257 42.79261429
 9400  0.00004454 43.51206868
 9500  0.00003571 44.47209987
 9600  0.00003227 44.91229314
 9700  0.00003462 44.60712242
 9800  0.00004217 43.75037464
 9900  0.00006724 41.72347190
