Iterations                    Total Loss
100                             0.017295
200                             0.006463
300                             0.004611
400                             0.003626
500                             0.003034
600                             0.002749
700                             0.002512
800                             0.002286
900                             0.002128
1000                            0.001922
1100                            0.001811
1200                            0.001674
1300                            0.001654
1400                            0.001566
1500                            0.001373
1600                            0.001382
1700                            0.001309
1800                            0.001311
1900                            0.001261
2000                            0.001324
2100                            0.001173
2200                            0.001157
2300                            0.001106
2400                            0.001065
2500                            0.001033
2600                            0.000981
2700                            0.000946
2800                            0.000978
2900                            0.000914
3000                            0.000899
3100                            0.000894
3200                            0.000920
3300                            0.000848
3400                            0.000839
3500                            0.000837
3600                            0.000789
3700                            0.000792
3800                            0.000755
3900                            0.000744
4000                            0.000733
4100                            0.000769
4200                            0.000723
4300                            0.000698
4400                            0.000707
4500                            0.000693
4600                            0.000653
4700                            0.000686
4800                            0.000718
4900                            0.000665
5000                            0.000607
5100                            0.000681
5200                            0.000602
5300                            0.000610
5400                            0.000611
5500                            0.000600
5600                            0.000626
5700                            0.000593
5800                            0.000589
5900                            0.000562
6000                            0.000558
6100                            0.000560
6200                            0.000542
6300                            0.000585
6400                            0.000551
6500                            0.000538
6600                            0.000523
6700                            0.000510
6800                            0.000529
6900                            0.000528
7000                            0.000515
7100                            0.000504
7200                            0.000511
7300                            0.000511
7400                            0.000484
7500                            0.000491
7600                            0.000515
7700                            0.000508
7800                            0.000495
7900                            0.000477
8000                            0.000471
8100                            0.000481
8200                            0.000490
8300                            0.000461
8400                            0.000521
8500                            0.000484
8600                            0.000640
8700                            0.000449
8800                            0.000466
8900                            0.000443
9000                            0.000450
9100                            0.000437
9200                            0.000464
9300                            0.000446
9400                            0.000425
9500                            0.000436
9600                            0.000419
9700                            0.000410
9800                            0.000424
9900                            0.000426
10000                           0.000405
