IterationsTotal Loss      PSNR
 100  0.00941881 20.26003807
  200  0.00457004 23.40080038
  300  0.00330121 24.81326742
  400  0.00254771 25.93849196
  500  0.00206106 26.85908905
  600  0.00173699 27.60202679
  700  0.00159536 27.97141028
  800  0.00145111 28.38300495
  900  0.00130210 28.85357212
 1000  0.00111112 29.54239945
 1100  0.00102582 29.88927910
 1200  0.00102384 29.89765949
 1300  0.00090637 30.42693200
 1400  0.00088670 30.52223588
 1500  0.00082538 30.83344800
 1600  0.00081785 30.87324372
 1700  0.00077462 31.10910222
 1800  0.00074509 31.27789256
 1900  0.00072362 31.40491784
 2000  0.00068510 31.64244996
 2100  0.00069397 31.58660120
 2200  0.00068224 31.66063696
 2300  0.00065966 31.80678984
 2400  0.00062469 32.04336310
 2500  0.00064019 31.93689088
 2600  0.00060362 32.19232969
 2700  0.00058598 32.32120285
 2800  0.00061690 32.09783063
 2900  0.00059767 32.23536290
 3000  0.00056547 32.47591660
 3100  0.00057092 32.43421458
 3200  0.00055542 32.55375139
 3300  0.00054696 32.62044848
 3400  0.00054564 32.63093643
 3500  0.00055369 32.56732488
 3600  0.00052303 32.81472401
 3700  0.00051796 32.85706864
 3800  0.00052614 32.78900844
 3900  0.00049936 33.01585274
 4000  0.00048763 33.11913610
 4100  0.00049991 33.01111747
 4200  0.00047996 33.18797887
 4300  0.00049714 33.03519750
 4400  0.00048431 33.14879650
 4500  0.00048448 33.14723576
 4600  0.00048554 33.13775775
 4700  0.00049356 33.06659318
 4800  0.00049929 33.01646323
 4900  0.00045416 33.42793932
 5000  0.00046601 33.31600932
 5100  0.00049777 33.02971226
 5200  0.00047890 33.19752446
 5300  0.00046533 33.32241815
 5400  0.00044100 33.55562833
 5500  0.00049316 33.07012345
 5600  0.00044738 33.49325189
 5700  0.00043275 33.63766477
 5800  0.00043306 33.63456847
 5900  0.00042209 33.74596117
 6000  0.00044221 33.54374535
 6100  0.00044373 33.52877416
 6200  0.00045879 33.38383948
 6300  0.00042386 33.72774790
 6400  0.00042781 33.68753176
 6500  0.00042264 33.74027143
 6600  0.00042310 33.73553839
 6700  0.00041303 33.84016921
 6800  0.00041105 33.86102481
 6900  0.00040472 33.92845577
 7000  0.00040324 33.94439181
 7100  0.00040888 33.88400858
 7200  0.00044627 33.50405217
 7300  0.00040922 33.88041016
 7400  0.00039004 34.08886755
 7500  0.00039626 34.02016292
 7600  0.00039136 34.07421752
 7700  0.00040432 33.93271100
 7800  0.00041477 33.82193327
 7900  0.00039336 34.05211116
 8000  0.00039488 34.03535482
 8100  0.00038318 34.16594934
 8200  0.00066096 31.79826658
 8300  0.00037916 34.21175901
 8400  0.00037691 34.23760611
 8500  0.00041631 33.80588376
 8600  0.00037095 34.30685973
 8700  0.00039320 34.05382367
 8800  0.00037059 34.31109985
 8900  0.00038263 34.17215452
 9000  0.00038262 34.17236079
 9100  0.00036493 34.37788215
 9200  0.00037421 34.26886376
 9300  0.00036824 34.33872032
 9400  0.00036359 34.39382356
 9500  0.00037773 34.22813365
 9600  0.00036193 34.41373862
 9700  0.00036776 34.34437493
 9800  0.00035887 34.45061499
 9900  0.00036526 34.37392024
10000  0.00037614 34.24649120
