IterationsTotal Loss      PSNR
 100  0.00164699 27.83310108
  200  0.00080030 30.96744716
  300  0.00057302 32.41833049
  400  0.00045376 33.43174709
  500  0.00049570 33.04784598
  600  0.00037910 34.21245194
  700  0.00031805 34.97500277
  800  0.00047988 33.18868298
  900  0.00025850 35.87542346
 1000  0.00024843 36.04795215
 1100  0.00028639 35.43043076
 1200  0.00021175 36.74169312
 1300  0.00021857 36.60412817
 1400  0.00018179 37.40420170
 1500  0.00017863 37.48036996
 1600  0.00017293 37.62120050
 1700  0.00016544 37.81348143
 1800  0.00020260 36.93352110
 1900  0.00014327 38.43844644
 2000  0.00013981 38.54449368
 2100  0.00013570 38.67408061
 2200  0.00012930 38.88408808
 2300  0.00013017 38.85501412
 2400  0.00014807 38.29540502
 2500  0.00013353 38.74435278
 2600  0.00012341 39.08646372
 2700  0.00010807 39.66291656
 2800  0.00012967 38.87153598
 2900  0.00016217 37.90035690
 3000  0.00016135 37.92226748
 3100  0.00011307 39.46634122
 3200  0.00009556 40.19708062
 3300  0.00009802 40.08695760
 3400  0.00009973 40.01185611
 3500  0.00009903 40.04251318
 3600  0.00013439 38.71636725
 3700  0.00009952 40.02111314
 3800  0.00012808 38.92531938
 3900  0.00009422 40.25867541
 4000  0.00011349 39.45036704
 4100  0.00009941 40.02558107
 4200  0.00006741 41.71267191
 4300  0.00006557 41.83324220
 4400  0.00007100 41.48739616
 4500  0.00008139 40.89414989
 4600  0.00008982 40.46605595
 4700  0.00010826 39.65523589
 4800  0.00007362 41.32977582
 4900  0.00006313 41.99782994
 5000  0.00005530 42.57237230
 5100  0.00005797 42.36804246
 5200  0.00007154 41.45475388
 5300  0.00007236 41.40493301
 5400  0.00005496 42.59928043
 5500  0.00005652 42.47811307
 5600  0.00005169 42.86554039
 5700  0.00011621 39.34748521
 5800  0.00005582 42.53238974
 5900  0.00210518 26.76711291
 6000  0.00079951 30.97176895
 6100  0.00055133 32.58588282
 6200  0.00044866 33.48084817
 6300  0.00040696 33.90444790
 6400  0.00036222 34.41026989
 6500  0.00034239 34.65474714
 6600  0.00031144 35.06628834
 6700  0.00029487 35.30370748
 6800  0.00028723 35.41763878
 6900  0.00026776 35.72251763
 7000  0.00024738 36.06636513
 7100  0.00023273 36.33147809
 7200  0.00021952 36.58516485
 7300  0.00021359 36.70422434
 7400  0.00020746 36.83063269
 7500  0.00019426 37.11624908
 7600  0.00017807 37.49406101
 7700  0.00022252 36.52623382
 7800  0.00016922 37.71549664
 7900  0.00019255 37.15460044
 8000  0.00017781 37.50051530
 8100  0.00015616 38.06437017
 8200  0.00016403 37.85085557
 8300  0.00014815 38.29294667
 8400  0.00014796 38.29867381
 8500  0.00014902 38.26760521
 8600  0.00014505 38.38483498
 8700  0.00020519 36.87843523
 8800  0.00013292 38.76417502
 8900  0.00013128 38.81791194
 9000  0.00012647 38.98008169
 9100  0.00011993 39.21071614
 9200  0.00011806 39.27885899
 9300  0.00012047 39.19121081
 9400  0.00015146 38.19693139
 9500  0.00011323 39.46049066
 9600  0.00012459 39.04517731
 9700  0.00012851 38.91065231
 9800  0.00011543 39.37688440
 9900  0.00010800 39.66570239
