IterationsTotal Loss      PSNR
 100  0.00184597 27.33776157
  200  0.00081454 30.89085485
  300  0.00050020 33.00852634
  400  0.00042523 33.71374066
  500  0.00040719 33.90208131
  600  0.00033663 34.72851279
  700  0.00031644 34.99701872
  800  0.00041195 33.85155223
  900  0.00028847 35.39895466
 1000  0.00057108 32.43300417
 1100  0.00021563 36.66284727
 1200  0.00023436 36.30111231
 1300  0.00020224 36.94123987
 1400  0.00024483 36.11140313
 1500  0.00018392 37.35373916
 1600  0.00016530 37.81728289
 1700  0.00016988 37.69858892
 1800  0.00038185 34.18111597
 1900  0.00015255 38.16587907
 2000  0.00018645 37.29434327
 2100  0.00014810 38.29457842
 2200  0.00013680 38.63912566
 2300  0.00012457 39.04570198
 2400  0.00024019 36.19440394
 2500  0.00014598 38.35716444
 2600  0.00017069 37.67783853
 2700  0.00011328 39.45827908
 2800  0.00011430 39.41936494
 2900  0.00010214 39.90814092
 3000  0.00011695 39.32009835
 3100  0.00011048 39.56703877
 3200  0.00009544 40.20269676
 3300  0.00014335 38.43603670
 3400  0.00010234 39.89960489
 3500  0.00011627 39.34528567
 3600  0.00009431 40.25441911
 3700  0.00008668 40.62081506
 3800  0.00008956 40.47863474
 3900  0.00007665 41.15464370
 4000  0.00007829 41.06269277
 4100  0.00007904 41.02167775
 4200  0.00007434 41.28773577
 4300  0.00009224 40.35078383
 4400  0.00008678 40.61586727
 4500  0.00007462 41.27125141
 4600  0.00008871 40.52047299
 4700  0.00007367 41.32684833
 4800  0.00006485 41.88080462
 4900  0.00006818 41.66354118
 5000  0.00006558 41.83196232
 5100  0.00007813 41.07182688
 5200  0.00007003 41.54707963
 5300  0.00010944 39.60812300
 5400  0.00013459 38.70986211
 5500  0.00005118 42.90876117
 5600  0.00009426 40.25687628
 5700  0.00006825 41.65888571
 5800  0.00005363 42.70592633
 5900  0.00006381 41.95119549
 6000  0.00006904 41.60916971
 6100  0.00005891 42.29842352
 6200  0.00006246 42.04400678
 6300  0.00006308 42.00085050
 6400  0.00006000 42.21823729
 6500  0.00004892 43.10528302
 6600  0.00004447 43.51942752
 6700  0.00004666 43.31051034
 6800  0.00004609 43.36351196
 6900  0.00004825 43.16478932
 7000  0.00004494 43.47356998
 7100  0.00003655 44.37152373
 7200  0.00010075 39.96747286
 7300  0.00005881 42.30551264
 7400  0.00006243 42.04636219
 7500  0.00005086 42.93659020
 7600  0.00005269 42.78310404
 7700  0.00007683 41.14469694
 7800  0.00003455 44.61523464
 7900  0.00003320 44.78876049
 8000  0.00003151 45.01602842
 8100  0.00003978 44.00352335
 8200  0.00005013 42.99869854
 8300  0.00003128 45.04760465
 8400  0.00006735 41.71672245
 8500  0.00003426 44.65216884
 8600  0.00003506 44.55157244
 8700  0.00002681 45.71661182
 8800  0.00003253 44.87702349
 8900  0.00004438 43.52838224
 9000  0.00003403 44.68120754
 9100  0.00002991 45.24220605
 9200  0.00004174 43.79426911
 9300  0.00006351 41.97134710
 9400  0.00005618 42.50441394
 9500  0.00002349 46.29172267
 9600  0.00002201 46.57436000
 9700  0.00002254 46.47078559
 9800  0.00003136 45.03570380
 9900  0.00003007 45.21864431
