IterationsTotal Loss      PSNR
 100  0.00177483 27.50842511
  200  0.00097205 30.12310611
  300  0.00063331 31.98380881
  400  0.00051470 32.88441810
  500  0.00041388 33.83124818
  600  0.00037663 34.24080293
  700  0.00032683 34.85676634
  800  0.00031898 34.96231209
  900  0.00027061 35.67652425
 1000  0.00025207 35.98478386
 1100  0.00032683 34.85673607
 1200  0.00031717 34.98702559
 1300  0.00022156 36.54504005
 1400  0.00020198 36.94688787
 1500  0.00019900 37.01146869
 1600  0.00021409 36.69399434
 1700  0.00016775 37.75342943
 1800  0.00017452 37.58160511
 1900  0.00020101 36.96790850
 2000  0.00016299 37.87845422
 2100  0.00021019 36.77385411
 2200  0.00014057 38.52095280
 2300  0.00013290 38.76482110
 2400  0.00015298 38.15372873
 2500  0.00016233 37.89589819
 2600  0.00012040 39.19359191
 2700  0.00011506 39.39067159
 2800  0.00012237 39.12310406
 2900  0.00012594 38.99827915
 3000  0.00013139 38.81445027
 3100  0.00011494 39.39512479
 3200  0.00012081 39.17887473
 3300  0.00010610 39.74290057
 3400  0.00010229 39.90156051
 3500  0.00010617 39.73982184
 3600  0.00010919 39.61824304
 3700  0.00011525 39.38376511
 3800  0.00017886 37.47492438
 3900  0.00008711 40.59951249
 4000  0.00009345 40.29403249
 4100  0.00008694 40.60771489
 4200  0.00008156 40.88511951
 4300  0.00010755 39.68378115
 4400  0.00014676 38.33407113
 4500  0.00007974 40.98342188
 4600  0.00007405 41.30456358
 4700  0.00007314 41.35858234
 4800  0.00007421 41.29561143
 4900  0.00008862 40.52446199
 5000  0.00006325 41.98953791
 5100  0.00016931 37.71324526
 5200  0.00006867 41.63253523
 5300  0.00009674 40.14381184
 5400  0.00006558 41.83236626
 5500  0.00006526 41.85384394
 5600  0.00007397 41.30933507
 5700  0.00005954 42.25219280
 5800  0.00013572 38.67348058
 5900  0.00009244 40.34125099
 6000  0.00005386 42.68757691
 6100  0.00005358 42.70961007
 6200  0.00008298 40.81010271
 6300  0.00009260 40.33409680
 6400  0.00008418 40.74806959
 6500  0.00014011 38.53542689
 6600  0.00007074 41.50342087
 6700  0.00005887 42.30126902
 6800  0.00005498 42.59785904
 6900  0.00007208 41.42211642
 7000  0.00004408 43.55778827
 7100  0.00004966 43.03979675
 7200  0.00006313 41.99773385
 7300  0.00006329 41.98688894
 7400  0.00004330 43.63542201
 7500  0.00004361 43.60443248
 7600  0.00005854 42.32527192
 7700  0.00004422 43.54353921
 7800  0.00005007 43.00447026
 7900  0.00003828 44.17027360
 8000  0.00005134 42.89531984
 8100  0.00008563 40.67375413
 8200  0.00004422 43.54339512
 8300  0.00009098 40.41064845
 8400  0.00009075 40.42151194
 8500  0.00008513 40.69939249
 8600  0.00006172 42.09558402
 8700  0.00004838 43.15370768
 8800  0.00006108 42.14130701
 8900  0.00003115 45.06478296
 9000  0.00008221 40.85076207
 9100  0.00004771 43.21406460
 9200  0.00005128 42.90077346
 9300  0.00003508 44.54900355
 9400  0.00004859 43.13419070
 9500  0.00004238 43.72884757
 9600  0.00005707 42.43629798
 9700  0.00002821 45.49521740
 9800  0.00002817 45.50187626
 9900  0.00003528 44.52418024
