IterationsTotal Loss      PSNR
 100  0.00175223 27.56407683
  200  0.00084308 30.74130834
  300  0.00057736 32.38552655
  400  0.00046846 33.29326308
  500  0.00049156 33.08425152
  600  0.00036589 34.36644627
  700  0.00031257 35.05056806
  800  0.00035497 34.49814389
  900  0.00027554 35.59809327
 1000  0.00025732 35.89519211
 1100  0.00024428 36.12111632
 1200  0.00025051 36.01172263
 1300  0.00022497 36.47879607
 1400  0.00024057 36.18760365
 1500  0.00019074 37.19567808
 1600  0.00020518 36.87864092
 1700  0.00017280 37.62457237
 1800  0.00019646 37.06730696
 1900  0.00016318 37.87334945
 2000  0.00032013 34.94679871
 2100  0.00017812 37.49275430
 2200  0.00018063 37.43214568
 2300  0.00020965 36.78506150
 2400  0.00014435 38.40580704
 2500  0.00025964 35.85622498
 2600  0.00011974 39.21778867
 2700  0.00011832 39.26956317
 2800  0.00012824 38.91981225
 2900  0.00011373 39.44121921
 3000  0.00011875 39.25350235
 3100  0.00011031 39.57388608
 3200  0.00011888 39.24889554
 3300  0.00009928 40.03154931
 3400  0.00011982 39.21472425
 3500  0.00009706 40.12955670
 3600  0.00011117 39.54005670
 3700  0.00008857 40.52697501
 3800  0.00008828 40.54158809
 3900  0.00008443 40.73513822
 4000  0.00008063 40.93519249
 4100  0.00010436 39.81473101
 4200  0.00008777 40.56657853
 4300  0.00007774 41.09364334
 4400  0.00007843 41.05494669
 4500  0.00008968 40.47288350
 4600  0.00007195 41.42959062
 4700  0.00006575 41.82082503
 4800  0.00166959 27.77389036
 4900  0.00072499 31.39665260
 5000  0.00056743 32.46086719
 5100  0.00046733 33.30380615
 5200  0.00045658 33.40478590
 5300  0.00038694 34.12357756
 5400  0.00039530 34.03068664
 5500  0.00033470 34.75346900
 5600  0.00030871 35.10452014
 5700  0.00028802 35.40578241
 5800  0.00030573 35.14659958
 5900  0.00026981 35.68944630
 6000  0.00025825 35.87967795
 6100  0.00026342 35.79354309
 6200  0.00024776 36.05977475
 6300  0.00023061 36.37125672
 6400  0.00023332 36.32045309
 6500  0.00021158 36.74517807
 6600  0.00023176 36.34957206
 6700  0.00019737 37.04713223
 6800  0.00022828 36.41534978
 6900  0.00032805 34.84059845
 7000  0.00019205 37.16583286
 7100  0.00016677 37.77887294
 7200  0.00016780 37.75200439
 7300  0.00016166 37.91398003
 7400  0.00017769 37.50344727
 7500  0.00016498 37.82560312
 7600  0.00014834 38.28738687
 7700  0.00015884 37.99029964
 7800  0.00016363 37.86146312
 7900  0.00014890 38.27097089
 8000  0.00015165 38.19165291
 8100  0.00013647 38.64964507
 8200  0.00013335 38.75000629
 8300  0.00012378 39.07340062
 8400  0.00018490 37.33054059
 8500  0.00013210 38.79107299
 8600  0.00012934 38.88273488
 8700  0.00016412 37.84843595
 8800  0.00020236 36.93871642
 8900  0.00013298 38.76208145
 9000  0.00011084 39.55289531
 9100  0.00012235 39.12384814
 9200  0.00010882 39.63288618
 9300  0.00010425 39.81914107
 9400  0.00011156 39.52503223
 9500  0.00010032 39.98591619
 9600  0.00012136 39.15929440
 9700  0.00009731 40.11839330
