Iterations                    Total Loss
100                             0.013067
200                             0.006279
300                             0.004990
400                             0.003818
500                             0.003253
600                             0.002700
700                             0.002321
800                             0.002131
900                             0.001931
1000                            0.001792
1100                            0.001587
1200                            0.001531
1300                            0.001448
1400                            0.001328
1500                            0.001250
1600                            0.001163
1700                            0.001117
1800                            0.001100
1900                            0.001018
2000                            0.001016
2100                            0.000986
2200                            0.000966
2300                            0.000965
2400                            0.000885
2500                            0.000877
2600                            0.000830
2700                            0.000861
2800                            0.000839
2900                            0.000815
3000                            0.000788
3100                            0.000764
3200                            0.000758
3300                            0.000730
3400                            0.000741
3500                            0.000702
3600                            0.000759
3700                            0.000707
3800                            0.000697
3900                            0.000629
4000                            0.000658
4100                            0.000626
4200                            0.000631
4300                            0.000614
4400                            0.000623
4500                            0.000630
4600                            0.000625
4700                            0.000619
4800                            0.000572
4900                            0.000550
5000                            0.000559
5100                            0.000587
5200                            0.000542
5300                            0.000574
5400                            0.000560
5500                            0.000527
5600                            0.000540
5700                            0.000514
5800                            0.000526
5900                            0.000545
6000                            0.001461
6100                            0.001059
6200                            0.000891
6300                            0.000792
6400                            0.000784
6500                            0.000695
6600                            0.000657
6700                            0.000691
6800                            0.000618
6900                            0.000637
7000                            0.000571
7100                            0.000578
7200                            0.000544
7300                            0.000547
7400                            0.000547
7500                            0.000517
7600                            0.000651
7700                            0.000509
7800                            0.000524
7900                            0.000521
8000                            0.000488
8100                            0.000469
8200                            0.000502
8300                            0.000547
8400                            0.000460
8500                            0.000464
8600                            0.000486
8700                            0.000463
8800                            0.000423
8900                            0.000430
9000                            0.000445
9100                            0.000431
9200                            0.000408
9300                            0.000429
9400                            0.000410
9500                            0.000404
9600                            0.000404
9700                            0.000402
9800                            0.000400
9900                            0.000444
