IterationsTotal Loss      PSNR
 100  0.00389497 24.09495735
  200  0.00222706 26.52267838
  300  0.00150802 28.21594048
  400  0.00115391 29.37827301
  500  0.00099177 30.03588867
  600  0.00086607 30.62446213
  700  0.00077059 31.13174057
  800  0.00071303 31.46892548
  900  0.00068197 31.66232300
 1000  0.00061487 32.11215210
 1100  0.00062673 32.02917862
 1200  0.00054811 32.61132431
 1300  0.00052640 32.78684616
 1400  0.00049027 33.09566498
 1500  0.00048576 33.13576889
 1600  0.00047443 33.23829269
