IterationsTotal Loss      PSNR
 100  0.00180348 27.43887706
  200  0.00078528 31.04977773
  300  0.00057729 32.38609522
  400  0.00047228 33.25801862
  500  0.00040665 33.90782387
  600  0.00039297 34.05641694
  700  0.00033441 34.75725422
  800  0.00031318 35.04212578
  900  0.00039340 34.05160730
 1000  0.00025868 35.87229398
 1100  0.00025509 35.93299231
 1200  0.00030595 35.14353335
 1300  0.00024654 36.08112221
 1400  0.00021106 36.75597645
 1500  0.00021392 36.69739285
 1600  0.00032320 34.90529619
 1700  0.00017531 37.56198503
 1800  0.00017770 37.50323985
 1900  0.00021177 36.74140636
 2000  0.00018029 37.44031719
 2100  0.00021571 36.66126759
 2200  0.00015291 38.15577435
 2300  0.00014212 38.47356953
 2400  0.00014039 38.52660568
 2500  0.00012923 38.88638401
 2600  0.00014082 38.51340972
 2700  0.00013323 38.75392864
 2800  0.00011583 39.36161948
 2900  0.00012242 39.12133500
 3000  0.00011325 39.45942732
 3100  0.00012211 39.13251246
 3200  0.00015140 38.19877965
 3300  0.00014041 38.52596504
 3400  0.00014179 38.48365593
 3500  0.00011610 39.35184727
 3600  0.00016623 37.79287938
 3700  0.00014900 38.26812082
 3800  0.00012162 39.14984891
 3900  0.00015635 38.05905426
 4000  0.00008948 40.48266477
 4100  0.00008747 40.58165498
 4200  0.00008153 40.88662836
 4300  0.00011873 39.25439404
 4400  0.00007609 41.18697780
 4500  0.00010125 39.94590118
 4600  0.00014312 38.44293534
 4700  0.00007449 41.27908612
 4800  0.00008017 40.96006361
 4900  0.00007780 41.09020196
 5000  0.00011130 39.53490155
 5100  0.00009243 40.34175545
 5200  0.00008072 40.93039746
 5300  0.00007838 41.05798953
 5400  0.00008492 40.71000273
 5500  0.00005963 42.24513586
 5600  0.00008917 40.49792097
 5700  0.00006015 42.20786647
 5800  0.00007712 41.12812314
 5900  0.00005267 42.78419965
 6000  0.00006747 41.70873610
 6100  0.00005620 42.50256805
 6200  0.00004830 43.16084403
 6300  0.00005366 42.70316145
 6400  0.00011513 39.38808670
 6500  0.00004654 43.32197375
 6600  0.00004722 43.25864836
 6700  0.00006343 41.97671395
 6800  0.00004399 43.56601287
 6900  0.00004402 43.56310968
 7000  0.00005790 42.37340846
 7100  0.00008090 40.92071998
 7200  0.00011996 39.20969700
 7300  0.00006387 41.94671723
 7400  0.00004395 43.57081693
 7500  0.00005977 42.23516785
 7600  0.00004695 43.28351184
 7700  0.00005110 42.91574370
 7800  0.00005012 42.99995600
 7900  0.00012872 38.90354058
 8000  0.00005333 42.73008758
 8100  0.00005716 42.42923682
 8200  0.00003290 44.82795851
 8300  0.00004000 43.97938040
 8400  0.00006196 42.07866077
 8500  0.00003856 44.13857914
 8600  0.00004733 43.24827617
 8700  0.00006171 42.09670123
 8800  0.00097328 30.11760687
 8900  0.00060678 32.16971320
 9000  0.00046968 33.28197348
 9100  0.00039217 34.06530497
 9200  0.00035578 34.48819030
 9300  0.00032774 34.84464417
 9400  0.00029513 35.29991784
 9500  0.00030315 35.18347532
 9600  0.00027785 35.56196731
 9700  0.00026828 35.71404414
 9800  0.00023967 36.20379587
 9900  0.00026593 35.75240068
